@relation 'Polution-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-3,5-6,9-10'

@attribute DayWeek {Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday}
@attribute NO2 numeric
@attribute PM10 numeric
@attribute Temperature numeric
@attribute Polution {SO2,NO,NO2,O3,CO,PM10}
@attribute Place {Palau_Reial,Torrente_Gornal,Sants}
@attribute Grade {1,2,3}

@data
Saturday,24,11,14.8,O3,Palau_Reial,3
Sunday,10,12,14.6,O3,Palau_Reial,3
Monday,17,21,10.8,O3,Palau_Reial,3
Tuesday,34,26,14.2,O3,Palau_Reial,3
Wednesday,20,21,10.6,O3,Palau_Reial,3
Thursday,34,16,10.4,O3,Palau_Reial,3
Friday,29,18,12.6,O3,Palau_Reial,3
Saturday,19,14,12,O3,Palau_Reial,3
Sunday,9,10,12.3,O3,Palau_Reial,3
Monday,22,16,15.5,O3,Palau_Reial,3
Tuesday,32,23,15.7,O3,Palau_Reial,2
Wednesday,29,20,16.6,NO2,Palau_Reial,2
Thursday,26,19,16.5,O3,Palau_Reial,2
Friday,29,21,14.6,O3,Palau_Reial,3
Saturday,17,15,14.3,O3,Palau_Reial,3
Sunday,18,14,13,O3,Palau_Reial,3
Monday,24,31,13.2,O3,Palau_Reial,3
Tuesday,41,16,15.2,O3,Palau_Reial,3
Wednesday,25,16,15,O3,Palau_Reial,3
Thursday,36,24,16.2,O3,Palau_Reial,3
Friday,33,16,16.1,O3,Palau_Reial,3
Saturday,23,13,16.4,O3,Palau_Reial,3
Sunday,23,15,17.8,O3,Palau_Reial,2
Monday,15,18,16.6,O3,Palau_Reial,2
Tuesday,24,19,15.5,O3,Palau_Reial,3
Wednesday,24,25,16.4,O3,Palau_Reial,3
Thursday,20,19,18,O3,Palau_Reial,3
Friday,26,21,17.2,O3,Palau_Reial,3
Saturday,29,23,18,O3,Palau_Reial,3
Sunday,16,19,16.4,O3,Palau_Reial,3
Monday,19,16,14.6,O3,Palau_Reial,3
Tuesday,23,19,15.8,O3,Palau_Reial,3
Wednesday,30,25,17.4,O3,Palau_Reial,3
Thursday,24,26,18.6,O3,Palau_Reial,3
Friday,36,32,20.2,PM10,Palau_Reial,3
Saturday,27,33,18.5,O3,Palau_Reial,2
Sunday,9,13,20.2,O3,Palau_Reial,3
Monday,22,15,17.8,O3,Palau_Reial,3
Tuesday,22,15,17.6,O3,Palau_Reial,2
Wednesday,24,15,17.7,O3,Palau_Reial,2
Thursday,35,20,18.2,O3,Palau_Reial,2
Friday,37,22,19.4,O3,Palau_Reial,3
Saturday,30,20,21.4,O3,Palau_Reial,3
Sunday,20,17,21.2,O3,Palau_Reial,2
Monday,30,19,21.5,O3,Palau_Reial,3
Tuesday,41,25,22.8,NO2,Palau_Reial,2
Wednesday,37,25,22.8,NO2,Palau_Reial,2
Thursday,38,26,24.4,NO2,Palau_Reial,2
Friday,31,22,23.3,O3,Palau_Reial,2
Saturday,25,22,21.4,O3,Palau_Reial,2
Sunday,14,18,21.8,O3,Palau_Reial,2
Monday,21,22,21.6,O3,Palau_Reial,3
Tuesday,18,22,21.4,O3,Palau_Reial,3
Wednesday,24,25,20.8,PM10,Palau_Reial,3
Thursday,16,20,19.6,O3,Palau_Reial,3
Friday,22,19,18.6,O3,Palau_Reial,3
Saturday,20,10,16.8,O3,Palau_Reial,3
Sunday,11,10,18.4,O3,Palau_Reial,3
Monday,27,14,20,?,Palau_Reial,3
Tuesday,34,24,22.8,CO,Palau_Reial,3
Wednesday,43,21,24.4,O3,Palau_Reial,3
Thursday,33,20,24.6,O3,Palau_Reial,2
Friday,29,?,23.7,O3,Palau_Reial,2
Saturday,22,?,24.5,O3,Palau_Reial,2
Sunday,16,?,21.9,O3,Palau_Reial,3
Monday,16,?,21.3,O3,Palau_Reial,3
Tuesday,26,31,22.3,O3,Palau_Reial,3
Wednesday,38,29,24.6,NO2,Palau_Reial,2
Thursday,36,31,24.5,O3,Palau_Reial,3
Friday,37,15,24.2,NO2,Palau_Reial,2
Saturday,27,18,24.4,O3,Palau_Reial,3
Sunday,14,18,21.8,O3,Palau_Reial,3
Monday,43,25,23.7,O3,Palau_Reial,3
Tuesday,39,25,27,O3,Palau_Reial,2
